,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix
577,categorical,20003,both_sexes,1140867504,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,priadel 200mg m/r tablet,UK Biobank Assessment Centre > Verbal interview > Medications,298.0,176.0,122.0,EUR,1.0,,,,,270.0,,,,,,420203.0,,,,,,0.11758,,,,,,1.0378,,categorical-20003-both_sexes-1140867504.tsv.bgz,categorical-20003-both_sexes-1140867504.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867504.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867504.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867504.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867504.tsv.bgz.tbi,522223629.0,1751009.0,d7379697c3711e018414aaa226be27ed,7c71439080550e2d0e513803c3172b58
581,categorical,20003,both_sexes,1140867878,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,sertraline,UK Biobank Assessment Centre > Verbal interview > Medications,1994.0,1327.0,667.0,EUR,1.0,,,,,1737.0,,,,,,418736.0,,,,,,0.070393,,,,,,1.0378,,categorical-20003-both_sexes-1140867878.tsv.bgz,categorical-20003-both_sexes-1140867878.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867878.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867878.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867878.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867878.tsv.bgz.tbi,541902504.0,1751800.0,3bbae62732297502b4726eeaab293e3a,4361dcb57eaba7d221c44d7fbc3bbbf3
582,categorical,20003,both_sexes,1140867888,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,paroxetine,UK Biobank Assessment Centre > Verbal interview > Medications,1580.0,1000.0,580.0,EUR,1.0,,,,,1419.0,,,,,,419054.0,,,,,,0.11314,,,,,,1.0261,,categorical-20003-both_sexes-1140867888.tsv.bgz,categorical-20003-both_sexes-1140867888.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867888.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867888.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867888.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867888.tsv.bgz.tbi,540460264.0,1752114.0,491102c68587d275c8a5f15b7253be77,1d151226f578d5c7ff3aa04ffd8f5760
590,categorical,20003,both_sexes,1140868364,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,prednisone,UK Biobank Assessment Centre > Verbal interview > Medications,299.0,175.0,124.0,EUR,1.0,,,,,257.0,,,,,,420216.0,,,,,,0.13553,,,,,,0.99084,,categorical-20003-both_sexes-1140868364.tsv.bgz,categorical-20003-both_sexes-1140868364.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140868364.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140868364.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140868364.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140868364.tsv.bgz.tbi,521277740.0,1751018.0,c575db514ef6b7f5b94fb5a493fe640a,d2cb57dd6c59ae560d085a3e0bbab990
595,categorical,20003,both_sexes,1140869930,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,azathioprine,UK Biobank Assessment Centre > Verbal interview > Medications,1015.0,523.0,492.0,EUR,1.0,,,,,859.0,,,,,,419614.0,,,,,,0.14115,,,,,,1.0361,,categorical-20003-both_sexes-1140869930.tsv.bgz,categorical-20003-both_sexes-1140869930.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140869930.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140869930.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140869930.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140869930.tsv.bgz.tbi,536130136.0,1751688.0,50e5bf9f002493d306db52b05a356bc1,7b4473769eb2fa41604fc3386c1e04ec
605,categorical,20003,both_sexes,1140870956,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,alfacalcidol,UK Biobank Assessment Centre > Verbal interview > Medications,443.0,257.0,186.0,EUR,1.0,,,,,356.0,,,,,,420117.0,,,,,,0.1123,,,,,,0.98904,,categorical-20003-both_sexes-1140870956.tsv.bgz,categorical-20003-both_sexes-1140870956.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140870956.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140870956.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140870956.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140870956.tsv.bgz.tbi,526057228.0,1751074.0,d321c5cfab301bada1669e9c105b4871,b447ab0040d3ec5e22881b86b8fb67c7
610,categorical,20003,both_sexes,1140871168,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,voltarol 25mg e/c tablet,UK Biobank Assessment Centre > Verbal interview > Medications,531.0,321.0,210.0,EUR,1.0,,,,,467.0,,,,,,420006.0,,,,,,0.13858,,,,,,0.98189,,categorical-20003-both_sexes-1140871168.tsv.bgz,categorical-20003-both_sexes-1140871168.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871168.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871168.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871168.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871168.tsv.bgz.tbi,529259333.0,1751256.0,3d72abbdbd8cfb1092ad72aa5bf3acd9,2f1f77f76af6bea9233219882aada1e4
613,categorical,20003,both_sexes,1140871266,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,arthrotec tablet,UK Biobank Assessment Centre > Verbal interview > Medications,688.0,401.0,287.0,EUR,1.0,,,,,593.0,,,,,,419880.0,,,,,,0.18154,,,,,,1.0075,,categorical-20003-both_sexes-1140871266.tsv.bgz,categorical-20003-both_sexes-1140871266.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871266.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871266.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871266.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871266.tsv.bgz.tbi,532382768.0,1751747.0,ca4e26f148c0aba5f996134eec3c0d7d,bea6bcdc7544e67d1c88278d21f5c8e8
622,categorical,20003,both_sexes,1140871688,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,solpadol caplet,UK Biobank Assessment Centre > Verbal interview > Medications,366.0,231.0,135.0,EUR,1.0,,,,,330.0,,,,,,420143.0,,,,,,0.22983,,,,,,1.0126,,categorical-20003-both_sexes-1140871688.tsv.bgz,categorical-20003-both_sexes-1140871688.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871688.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871688.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140871688.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140871688.tsv.bgz.tbi,525096558.0,1750991.0,d9edff5ef66710d790b729716c9f7beb,3fd720abf03c883700dfb1add9d65955
629,categorical,20003,both_sexes,1140872112,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,epanutin 25mg capsule,UK Biobank Assessment Centre > Verbal interview > Medications,329.0,144.0,185.0,EUR,1.0,,,,,300.0,,,,,,420173.0,,,,,,0.23147,,,,,,0.98802,,categorical-20003-both_sexes-1140872112.tsv.bgz,categorical-20003-both_sexes-1140872112.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872112.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872112.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872112.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872112.tsv.bgz.tbi,523351745.0,1751274.0,719806c83e789881aac34f30f5673545,e5e74f434c425674fae042f5f8b3a42b
633,categorical,20003,both_sexes,1140872228,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,gabapentin,UK Biobank Assessment Centre > Verbal interview > Medications,2219.0,1302.0,917.0,EUR,1.0,,,,,1955.0,,,,,,418518.0,,,,,,0.1269,,,,,,1.0399,,categorical-20003-both_sexes-1140872228.tsv.bgz,categorical-20003-both_sexes-1140872228.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872228.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872228.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872228.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140872228.tsv.bgz.tbi,541897341.0,1752163.0,d6595585bacbad988586701eb7b14474,ca0779ce96142f51325dce1df006898a
643,categorical,20003,both_sexes,1140873548,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,oxytetracycline,UK Biobank Assessment Centre > Verbal interview > Medications,1368.0,701.0,667.0,EUR,1.0,,,,,1243.0,,,,,,419230.0,,,,,,0.15221,,,,,,1.001,,categorical-20003-both_sexes-1140873548.tsv.bgz,categorical-20003-both_sexes-1140873548.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140873548.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140873548.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140873548.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140873548.tsv.bgz.tbi,539196804.0,1751930.0,13015767c897b556630e1e5a82af48ce,eb9cd633b9df46572d24728142166689
652,categorical,20003,both_sexes,1140874686,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,glucophage 500mg tablet,UK Biobank Assessment Centre > Verbal interview > Medications,467.0,227.0,240.0,EUR,1.0,,,,,359.0,,,,,,420114.0,,,,,,0.053897,,,,,,1.0123,,categorical-20003-both_sexes-1140874686.tsv.bgz,categorical-20003-both_sexes-1140874686.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874686.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874686.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874686.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874686.tsv.bgz.tbi,526092556.0,1751220.0,1821e7ddbaf088f5c143687d133f39eb,e601abf645d255fb9da5495eb32d08fc
654,categorical,20003,both_sexes,1140874790,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,betamethasone,UK Biobank Assessment Centre > Verbal interview > Medications,734.0,317.0,417.0,EUR,1.0,,,,,652.0,,,,,,419821.0,,,,,,0.14008,,,,,,1.0049,,categorical-20003-both_sexes-1140874790.tsv.bgz,categorical-20003-both_sexes-1140874790.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874790.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874790.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874790.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874790.tsv.bgz.tbi,533166231.0,1751684.0,822a9e01d6d09516d80d9186ba527bbb,2092e82cb0a71564d99b625f89bf9827
656,categorical,20003,both_sexes,1140874852,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,thyroxine sodium,UK Biobank Assessment Centre > Verbal interview > Medications,1323.0,1120.0,203.0,EUR,1.0,,,,,1152.0,,,,,,419321.0,,,,,,0.17527,,,,,,1.0285,,categorical-20003-both_sexes-1140874852.tsv.bgz,categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,538732229.0,1751834.0,256797a572d3a6665728942ffd60c278,883e0e83b4ef8a916a3b257f3c206cb4
658,categorical,20003,both_sexes,1140874896,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,hydrocortisone,UK Biobank Assessment Centre > Verbal interview > Medications,861.0,465.0,396.0,EUR,1.0,,,,,760.0,,,,,,419713.0,,,,,,0.078275,,,,,,1.0128,,categorical-20003-both_sexes-1140874896.tsv.bgz,categorical-20003-both_sexes-1140874896.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874896.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874896.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874896.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874896.tsv.bgz.tbi,534669918.0,1751602.0,d9b5aaf3483f2708b230ad75b8a471d0,301a810fc61d13b95728f8e48b9cb7f5
669,categorical,20003,both_sexes,1140876136,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,beconase 50micrograms nasal spray,UK Biobank Assessment Centre > Verbal interview > Medications,3136.0,1704.0,1432.0,EUR,1.0,,,,,2785.0,,,,,,417688.0,,,,,,0.076121,,,,,,1.0369,,categorical-20003-both_sexes-1140876136.tsv.bgz,categorical-20003-both_sexes-1140876136.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140876136.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140876136.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140876136.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140876136.tsv.bgz.tbi,544562591.0,1751991.0,689e983f1bfa8ead6fab3d79036fd577,797e61260c2858e3e26b39eeded86d94
676,categorical,20003,both_sexes,1140878036,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,diclofenac sodium+misoprostol,UK Biobank Assessment Centre > Verbal interview > Medications,330.0,182.0,148.0,EUR,1.0,,,,,283.0,,,,,,420190.0,,,,,,0.062014,,,,,,1.0127,,categorical-20003-both_sexes-1140878036.tsv.bgz,categorical-20003-both_sexes-1140878036.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878036.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878036.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878036.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878036.tsv.bgz.tbi,522897215.0,1750865.0,5bc3c17e061227c595ffac83409c0ca8,5b6d1b42fcdfebc7dbaeee589f20de0c
680,categorical,20003,both_sexes,1140878304,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,e45 cream,UK Biobank Assessment Centre > Verbal interview > Medications,362.0,164.0,198.0,EUR,1.0,,,,,283.0,,,,,,420190.0,,,,,,0.065871,,,,,,0.98744,,categorical-20003-both_sexes-1140878304.tsv.bgz,categorical-20003-both_sexes-1140878304.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878304.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878304.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878304.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140878304.tsv.bgz.tbi,522703012.0,1750811.0,62741e998fa199b63f4673687805530b,2fd1541d9bc0062041824d5c9c44af98
689,categorical,20003,both_sexes,1140879430,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,domperidone,UK Biobank Assessment Centre > Verbal interview > Medications,960.0,676.0,284.0,EUR,1.0,,,,,851.0,,,,,,419622.0,,,,,,0.056989,,,,,,0.98855,,categorical-20003-both_sexes-1140879430.tsv.bgz,categorical-20003-both_sexes-1140879430.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879430.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879430.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879430.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879430.tsv.bgz.tbi,535659021.0,1751823.0,87bc2b0fd804a677b34fce1289addb5b,ba1080a94146c84e27ec510c46d1bbac
690,categorical,20003,both_sexes,1140879464,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,loperamide,UK Biobank Assessment Centre > Verbal interview > Medications,1527.0,869.0,658.0,EUR,1.0,,,,,1397.0,,,,,,419076.0,,,,,,0.070224,,,,,,1.0063,,categorical-20003-both_sexes-1140879464.tsv.bgz,categorical-20003-both_sexes-1140879464.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879464.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879464.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879464.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879464.tsv.bgz.tbi,540098796.0,1751984.0,97505b9e3fe6211ad37f8f7b04520ef9,7df05a3c5476938b33e34aa19b521a8f
692,categorical,20003,both_sexes,1140879540,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,fluoxetine,UK Biobank Assessment Centre > Verbal interview > Medications,5499.0,3920.0,1579.0,EUR,1.0,,,,,4902.0,,,,,,415571.0,,,,,,0.054404,,,,,,1.0328,,categorical-20003-both_sexes-1140879540.tsv.bgz,categorical-20003-both_sexes-1140879540.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879540.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879540.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879540.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879540.tsv.bgz.tbi,543643492.0,1752263.0,965ab861be001e78117718c2b53a5177,83a973e083ecf9d1d64826275c59e1e6
704,categorical,20003,both_sexes,1140879792,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,terbutaline,UK Biobank Assessment Centre > Verbal interview > Medications,700.0,457.0,243.0,EUR,1.0,,,,,623.0,,,,,,419850.0,,,,,,0.19121,,,,,,0.98367,,categorical-20003-both_sexes-1140879792.tsv.bgz,categorical-20003-both_sexes-1140879792.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879792.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879792.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879792.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879792.tsv.bgz.tbi,532625711.0,1751491.0,48cc68ae88fc860e8f807df0b553543e,54a336ae841a2be3485165816725db7c
707,categorical,20003,both_sexes,1140879806,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,diltiazem,UK Biobank Assessment Centre > Verbal interview > Medications,992.0,404.0,588.0,EUR,1.0,,,,,856.0,,,,,,419617.0,,,,,,0.11243,,,,,,1.024,,categorical-20003-both_sexes-1140879806.tsv.bgz,categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879806.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879806.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,535824768.0,1751735.0,37403e7431c2e41921cbe396e4a2c13e,ea66049201939bbdc513ffc8ea53b8ba
708,categorical,20003,both_sexes,1140879818,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,metoprolol,UK Biobank Assessment Centre > Verbal interview > Medications,935.0,326.0,609.0,EUR,1.0,,,,,794.0,,,,,,419679.0,,,,,,0.085118,,,,,,0.98571,,categorical-20003-both_sexes-1140879818.tsv.bgz,categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879818.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879818.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,534914134.0,1752040.0,2a4956bd46b0ae61501f0d9438db0e54,91d421200b86a06dbf232ea6cd0ecc62
